,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-L/100km,price,city-L/100km,fuel-type-diesel,fuel-type-gas,horsepower-binned,aspiration-std,aspiration-turbo
0,3,122,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,0.23450264296011533,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,8.703703703703704,13495.0,11.19047619047619,0,1,Low,1,0
1,3,122,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,0.23450264296011533,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,8.703703703703704,16500.0,11.19047619047619,0,1,Low,1,0
2,1,122,alfa-romero,two,hatchback,rwd,front,94.5,171.2,65.5,0.25180201826045173,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,19,9.038461538461538,16500.0,12.368421052631579,0,1,Medium,1,0
3,2,164,audi,four,sedan,fwd,front,99.8,176.6,66.2,0.260932244113407,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,7.833333333333333,13950.0,9.791666666666666,0,1,Low,1,0
4,2,164,audi,four,sedan,4wd,front,99.4,176.6,66.4,0.260932244113407,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,10.681818181818182,17450.0,13.055555555555555,0,1,Low,1,0
5,2,122,audi,two,sedan,fwd,front,99.8,177.3,66.3,0.25516578567996157,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,9.4,15250.0,12.368421052631579,0,1,Low,1,0
6,1,158,audi,four,sedan,fwd,front,105.8,192.7,71.4,0.26765977895242676,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,9.4,17710.0,12.368421052631579,0,1,Low,1,0
7,1,122,audi,four,wagon,fwd,front,105.8,192.7,71.4,0.26765977895242676,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,9.4,18920.0,12.368421052631579,0,1,Low,1,0
8,1,158,audi,four,sedan,fwd,front,105.8,192.7,71.4,0.26862085535800095,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,11.75,23875.0,13.823529411764707,0,1,Medium,0,1
9,2,192,bmw,two,sedan,rwd,front,101.2,176.8,64.8,0.260932244113407,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,8.10344827586207,16430.0,10.217391304347826,0,1,Low,1,0
10,0,192,bmw,four,sedan,rwd,front,101.2,176.8,64.8,0.260932244113407,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,8.10344827586207,16925.0,10.217391304347826,0,1,Low,1,0
11,0,188,bmw,two,sedan,rwd,front,101.2,176.8,64.8,0.260932244113407,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,8.392857142857142,20970.0,11.19047619047619,0,1,Medium,1,0
12,0,188,bmw,four,sedan,rwd,front,101.2,176.8,64.8,0.260932244113407,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,8.392857142857142,21105.0,11.19047619047619,0,1,Medium,1,0
13,1,122,bmw,four,sedan,rwd,front,103.5,189.0,66.9,0.26765977895242676,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,20,9.4,24565.0,11.75,0,1,Medium,1,0
14,0,122,bmw,four,sedan,rwd,front,103.5,189.0,66.9,0.26765977895242676,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,10.681818181818182,30760.0,14.6875,0,1,Medium,1,0
15,0,122,bmw,two,sedan,rwd,front,103.5,193.8,67.9,0.2580490148966843,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,10.681818181818182,41315.0,14.6875,0,1,Medium,1,0
16,0,122,bmw,four,sedan,rwd,front,110.0,197.0,70.9,0.27054300816914945,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15,11.75,36880.0,15.666666666666666,0,1,Medium,1,0
17,2,121,chevrolet,two,hatchback,fwd,front,88.4,141.1,60.3,0.2556463238827487,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,47,4.433962264150943,5151.0,5.0,0,1,Low,1,0
18,1,98,chevrolet,two,hatchback,fwd,front,94.5,155.9,63.6,0.24987986544930324,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,5.465116279069767,6295.0,6.184210526315789,0,1,Low,1,0
19,0,81,chevrolet,four,sedan,fwd,front,94.5,158.8,63.6,0.24987986544930324,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,5.465116279069767,6575.0,6.184210526315789,0,1,Low,1,0
20,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,0.24411340701585776,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,37,5.7317073170731705,5572.0,6.351351351351352,0,1,Low,1,0
21,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,0.24411340701585776,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6377.0,7.580645161290323,0,1,Low,1,0
22,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,0.24411340701585776,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,7.833333333333333,7957.0,9.791666666666666,0,1,Low,0,1
23,1,148,dodge,four,hatchback,fwd,front,93.7,157.3,63.8,0.24315233061028352,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6229.0,7.580645161290323,0,1,Low,1,0
24,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,0.24315233061028352,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6692.0,7.580645161290323,0,1,Low,1,0
25,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,0.24315233061028352,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,7609.0,7.580645161290323,0,1,Low,1,0
26,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,0.24315233061028352,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,7.833333333333333,8558.0,9.791666666666666,0,1,Low,0,1
27,-1,110,dodge,four,wagon,fwd,front,103.3,174.6,64.6,0.2873618452666987,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,24,7.833333333333333,8921.0,9.791666666666666,0,1,Low,1,0
28,3,145,dodge,two,hatchback,fwd,front,95.9,173.2,66.3,0.24123017779913505,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,19,9.791666666666666,12964.0,12.368421052631579,0,1,Medium,0,1
29,2,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,0.24411340701585776,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,49,4.351851851851852,6479.0,4.795918367346939,0,1,Low,1,0
30,2,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,0.24411340701585776,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,31,6.184210526315789,6855.0,7.580645161290323,0,1,Low,1,0
31,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,0.252763094666026,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,38,5.595238095238095,5399.0,6.184210526315789,0,1,Low,1,0
32,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,0.252763094666026,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,6.911764705882353,6529.0,7.833333333333333,0,1,Low,1,0
33,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,0.252763094666026,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,6.911764705882353,7129.0,7.833333333333333,0,1,Low,1,0
34,0,110,honda,four,sedan,fwd,front,96.5,163.4,64.0,0.2618933205189813,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,6.911764705882353,7295.0,7.833333333333333,0,1,Low,1,0
35,0,78,honda,four,wagon,fwd,front,96.5,157.1,63.9,0.28015377222489185,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,30,6.911764705882353,7295.0,7.833333333333333,0,1,Low,1,0
36,0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,0.2561268620855358,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,7.121212121212121,7895.0,8.703703703703704,0,1,Low,1,0
37,0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,0.2561268620855358,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,7.121212121212121,9095.0,8.703703703703704,0,1,Low,1,0
38,0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,0.2599711677078328,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,7.121212121212121,8845.0,8.703703703703704,0,1,Low,1,0
39,0,85,honda,four,sedan,fwd,front,96.5,175.4,62.5,0.2599711677078328,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,7.121212121212121,10295.0,8.703703703703704,0,1,Low,1,0
40,0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,0.2599711677078328,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,24,8.392857142857142,12945.0,9.791666666666666,0,1,Low,1,0
41,1,107,honda,two,sedan,fwd,front,96.5,169.1,66.0,0.245074483421432,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,25,7.580645161290323,10345.0,9.4,0,1,Low,1,0
42,0,122,isuzu,four,sedan,rwd,front,94.3,170.7,61.8,0.25708793849111006,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,24,8.10344827586207,6785.0,9.791666666666666,0,1,Low,1,0
43,2,122,isuzu,two,hatchback,rwd,front,96.0,172.6,65.2,0.2469966362325805,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,24,8.10344827586207,11048.0,9.791666666666666,0,1,Low,1,0
44,0,145,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,0.25372417107160017,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,12.368421052631579,32250.0,15.666666666666666,0,1,Medium,1,0
45,0,122,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,0.25372417107160017,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,12.368421052631579,35550.0,15.666666666666666,0,1,Medium,1,0
46,0,122,jaguar,two,sedan,rwd,front,102.0,191.7,70.6,0.2296972609322441,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,13,13.823529411764707,36000.0,18.076923076923077,0,1,High,1,0
47,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,0.2599711677078328,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,30,7.580645161290323,5195.0,7.833333333333333,0,1,Low,1,0
48,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,0.2599711677078328,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6.184210526315789,6095.0,7.580645161290323,0,1,Low,1,0
49,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,0.2599711677078328,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6.184210526315789,6795.0,7.580645161290323,0,1,Low,1,0
50,1,113,mazda,four,sedan,fwd,front,93.1,166.8,64.2,0.2599711677078328,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,6.184210526315789,6695.0,7.580645161290323,0,1,Low,1,0
51,1,113,mazda,four,sedan,fwd,front,93.1,166.8,64.2,0.2599711677078328,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,31,6.184210526315789,7395.0,7.580645161290323,0,1,Low,1,0
52,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,0.23834694858241232,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,10.217391304347826,10945.0,13.823529411764707,0,1,Low,1,0
53,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,0.23834694858241232,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,10.217391304347826,11845.0,13.823529411764707,0,1,Low,1,0
54,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,0.23834694858241232,2385,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000.0,17,10.217391304347826,13645.0,13.823529411764707,0,1,Low,1,0
55,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,0.23834694858241232,2500,rotor,two,80,mpfi,3.3297512437810943,3.255422885572139,9.4,135,6000.0,16,10.217391304347826,15645.0,14.6875,0,1,Medium,1,0
56,1,129,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,0.2580490148966843,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,8845.0,9.038461538461538,0,1,Low,1,0
57,0,115,mazda,four,sedan,fwd,front,98.8,177.8,66.5,0.26669870254685246,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,8495.0,9.038461538461538,0,1,Low,1,0
58,1,129,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,0.2580490148966843,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,10595.0,9.038461538461538,0,1,Low,1,0
59,0,115,mazda,four,sedan,fwd,front,98.8,177.8,66.5,0.26669870254685246,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,10245.0,9.038461538461538,0,1,Low,1,0
60,0,122,mazda,four,sedan,fwd,front,98.8,177.8,66.5,0.26669870254685246,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,36,5.595238095238095,10795.0,6.527777777777778,1,0,Low,1,0
61,0,115,mazda,four,hatchback,fwd,front,98.8,177.8,66.5,0.26669870254685246,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,7.34375,11245.0,9.038461538461538,0,1,Low,1,0
62,0,118,mazda,four,sedan,rwd,front,104.9,175.0,66.1,0.26141278231619414,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,19,8.703703703703704,18280.0,12.368421052631579,0,1,Medium,1,0
63,0,122,mazda,four,sedan,rwd,front,104.9,175.0,66.1,0.26141278231619414,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,31,6.0256410256410255,18344.0,7.580645161290323,1,0,Low,1,0
64,-1,93,mercedes-benz,four,sedan,rwd,front,110.0,190.9,70.3,0.2715040845747237,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,9.4,25552.0,10.681818181818182,1,0,Medium,0,1
65,-1,93,mercedes-benz,four,wagon,rwd,front,110.0,190.9,70.3,0.2820759250360404,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,9.4,28248.0,10.681818181818182,1,0,Medium,0,1
66,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,187.5,70.3,0.2638154733301297,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,9.4,28176.0,10.681818181818182,1,0,Medium,0,1
67,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,0.27054300816914945,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,9.4,31600.0,10.681818181818182,1,0,Medium,0,1
68,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,0.2715040845747237,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,13.055555555555555,34184.0,14.6875,0,1,Medium,1,0
69,3,142,mercedes-benz,two,convertible,rwd,front,96.6,180.3,70.5,0.24411340701585776,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,13.055555555555555,35056.0,14.6875,0,1,Medium,1,0
70,0,122,mercedes-benz,four,sedan,rwd,front,120.9,208.1,71.7,0.27246516098029794,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,14,14.6875,40960.0,16.785714285714285,0,1,Medium,1,0
71,1,122,mercedes-benz,two,hardtop,rwd,front,112.0,199.2,72.0,0.26621816434406537,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,14,14.6875,45400.0,16.785714285714285,0,1,Medium,1,0
72,1,122,mercury,two,hatchback,rwd,front,102.7,178.4,68.0,0.26333493512734263,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,19,9.791666666666666,16503.0,12.368421052631579,0,1,Medium,0,1
73,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,0.24411340701585776,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,37,5.7317073170731705,5389.0,6.351351351351352,0,1,Low,1,0
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,0.24411340701585776,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6189.0,7.580645161290323,0,1,Low,1,0
75,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,0.24411340701585776,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,6.184210526315789,6669.0,7.580645161290323,0,1,Low,1,0
76,1,161,mitsubishi,two,hatchback,fwd,front,93.0,157.3,63.8,0.24411340701585776,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,7.833333333333333,7689.0,9.791666666666666,0,1,Low,0,1
77,3,153,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,0.23738587217683807,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,7.833333333333333,9959.0,10.217391304347826,0,1,Low,0,1
78,3,153,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,0.23738587217683807,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,7.34375,8499.0,9.4,0,1,Low,1,0
79,3,122,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,0.24123017779913505,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,19,9.791666666666666,12629.0,12.368421052631579,0,1,Medium,0,1
80,3,122,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,0.24123017779913505,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,9.791666666666666,14869.0,12.368421052631579,0,1,Medium,0,1
81,3,122,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,0.24123017779913505,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,9.791666666666666,14489.0,12.368421052631579,0,1,Medium,0,1
82,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,0.24795771263815475,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,7.34375,6989.0,9.4,0,1,Low,1,0
83,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,0.24795771263815475,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,7.34375,8189.0,9.4,0,1,Low,1,0
84,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,0.24795771263815475,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,7.833333333333333,9279.0,10.217391304347826,0,1,Low,0,1
85,-1,137,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,0.24795771263815475,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,7.833333333333333,9279.0,10.217391304347826,0,1,Low,1,0
86,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,0.2618933205189813,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,5499.0,7.580645161290323,0,1,Low,1,0
87,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,0.2618933205189813,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,45,4.7,7099.0,5.222222222222222,1,0,Low,1,0
88,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,0.2618933205189813,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,6649.0,7.580645161290323,0,1,Low,1,0
89,1,122,nissan,four,sedan,fwd,front,94.5,165.3,63.8,0.2618933205189813,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,6849.0,7.580645161290323,0,1,Low,1,0
90,1,103,nissan,four,wagon,fwd,front,94.5,170.2,63.8,0.25708793849111006,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7349.0,7.580645161290323,0,1,Low,1,0
91,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,0.2618933205189813,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7299.0,7.580645161290323,0,1,Low,1,0
92,1,128,nissan,two,hatchback,fwd,front,94.5,165.6,63.8,0.2561268620855358,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7799.0,7.580645161290323,0,1,Low,1,0
93,1,122,nissan,four,sedan,fwd,front,94.5,165.3,63.8,0.2618933205189813,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7499.0,7.580645161290323,0,1,Low,1,0
94,1,103,nissan,four,wagon,fwd,front,94.5,170.2,63.8,0.25708793849111006,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,7999.0,7.580645161290323,0,1,Low,1,0
95,2,168,nissan,two,hardtop,fwd,front,95.1,162.4,63.8,0.2561268620855358,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,6.351351351351352,8249.0,7.580645161290323,0,1,Low,1,0
96,0,106,nissan,four,hatchback,fwd,front,97.2,173.4,65.2,0.26285439692455553,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,6.911764705882353,8949.0,8.703703703703704,0,1,Low,1,0
97,0,106,nissan,four,sedan,fwd,front,97.2,173.4,65.2,0.26285439692455553,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,6.911764705882353,9549.0,8.703703703703704,0,1,Low,1,0
98,0,128,nissan,four,sedan,fwd,front,100.4,181.7,66.5,0.264776549735704,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,10.681818181818182,13499.0,13.823529411764707,0,1,Medium,1,0
